lb01_id_lb,lb02_id_punktu_poczatkowego,lb03_id_punktu_koncowego,lb04_medium_transmisyjne,lb05_nr_pozwolenia_radiowego,lb06_pasmo_radiowe,lb07_system_transmisyjny,lb08_przepustowosc,lb09_mozliwosc_udostepniania
WL_W1_to_W4,W1,W4,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,20,Nie
WL_W1_to_W5,W1,W5,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,21,Nie
WL_W1_to_W6,W1,W6,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,13,Nie
WL_W1_to_W7,W1,W7,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,21,Nie
WL_W1_to_W8,W1,W8,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,18,Nie
WL_W1_to_W12,W1,W12,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,13,Nie
WL_W1_to_W15,W1,W15,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,18,Nie
WL_W1_to_W16,W1,W16,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,18,Nie
WL_W1_to_W117,W1,W117,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,11,Nie
WL_W3_to_W19,W3,W19,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,17,Nie
WL_W3_to_W61,W3,W61,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,13,Nie
WL_W3_to_W64,W3,W64,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,12,Nie
WL_W5_to_W13,W5,W13,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,17,Nie
WL_W5_to_W15,W5,W15,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,19,Nie
WL_W5_to_W51,W5,W51,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,14,Nie
WL_W5_to_W111,W5,W111,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,11,Nie
WL_W5_to_W114,W5,W114,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,14,Nie
WL_W6_to_W9,W6,W9,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,15,Nie
WL_W7_to_W14,W7,W14,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,14,Nie
WL_W7_to_W21,W7,W21,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,17,Nie
WL_W7_to_W86,W7,W86,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,19,Nie
WL_W7_to_W105,W7,W105,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,07,Nie
WL_W7_to_W107,W7,W107,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,12,Nie
WL_W8_to_W100,W8,W100,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,12,Nie
WL_W9_to_W10,W9,W10,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,07,Nie
WL_W9_to_W116,W9,W116,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,11,Nie
WL_W9_to_W125,W9,W125,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,12,Nie
WL_W9_to_W126,W9,W126,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,11,Nie
WL_W10_to_W11,W10,W11,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,11,Nie
WL_W10_to_W124,W10,W124,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,07,Nie
WL_W11_to_W12,W11,W12,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,13,Nie
WL_W11_to_W118,W11,W118,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,17,Nie
WL_W14_to_W106,W14,W106,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,12,Nie
WL_W14_to_W109,W14,W109,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,12,Nie
WL_W14_to_W110,W14,W110,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,12,Nie
WL_W15_to_W17,W15,W17,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,19,Nie
WL_W15_to_W65,W15,W65,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,12,Nie
WL_W15_to_W102,W15,W102,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,12,Nie
WL_W15_to_W104,W15,W104,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,09,Nie
WL_W16_to_W43,W16,W43,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,11,Nie
WL_W16_to_W44,W16,W44,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,12,Nie
WL_W16_to_W45,W16,W45,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,16,Nie
WL_W16_to_W46,W16,W46,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,13,Nie
WL_W16_to_W49,W16,W49,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,13,Nie
WL_W16_to_W55,W16,W55,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,12,Nie
WL_W17_to_W18,W17,W18,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,17,Nie
WL_W17_to_W50,W17,W50,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,12,Nie
WL_W17_to_W88,W17,W88,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,13,Nie
WL_W17_to_W93,W17,W93,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,11,Nie
WL_W17_to_W94,W17,W94,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,09,Nie
WL_W18_to_W19,W18,W19,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,17,Nie
WL_W18_to_W20,W18,W20,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,13,Nie
WL_W18_to_W90,W18,W90,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,07,Nie
WL_W19_to_W59,W19,W59,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,13,Nie
WL_W19_to_W60,W19,W60,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,12,Nie
WL_W20_to_W89,W20,W89,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,07,Nie
WL_W21_to_W22,W21,W22,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,13,Nie
WL_W21_to_W31,W21,W31,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,13,Nie
WL_W21_to_W40,W21,W40,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,12,Nie
WL_W21_to_W76,W21,W76,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,13,Nie
WL_W21_to_W95,W21,W95,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,09,Nie
WL_W21_to_W97,W21,W97,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,11,Nie
WL_W21_to_W98,W21,W98,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,11,Nie
WL_W21_to_W101,W21,W101,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,12,Nie
WL_W21_to_W113,W21,W113,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,07,Nie
WL_W22_to_W23,W22,W23,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,17,Nie
WL_W22_to_W119,W22,W119,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,13,Nie
WL_W22_to_W140,W22,W140,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,11,Nie
WL_W23_to_W24,W23,W24,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,12,Nie
WL_W23_to_W25,W23,W25,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,13,Nie
WL_W23_to_W36,W23,W36,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,09,Nie
WL_W23_to_W37,W23,W37,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,12,Nie
WL_W25_to_W26,W25,W26,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,09,Nie
WL_W25_to_W28,W25,W28,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,13,Nie
WL_W25_to_W29,W25,W29,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,12,Nie
WL_W26_to_W27,W26,W27,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,08,Nie
WL_W28_to_W29,W28,W29,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,12,Nie
WL_W28_to_W30,W28,W30,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,11,Nie
WL_W31_to_W32,W31,W32,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,11,Nie
WL_W31_to_W33,W31,W33,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,07,Nie
WL_W31_to_W35,W31,W35,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,12,Nie
WL_W31_to_W36,W31,W36,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,07,Nie
WL_W33_to_W34,W33,W34,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,07,Nie
WL_W37_to_W38,W37,W38,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,11,Nie
WL_W38_to_W39,W38,W39,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,09,Nie
WL_W40_to_W41,W40,W41,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,10,Nie
WL_W40_to_W42,W40,W42,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,11,Nie
WL_W46_to_W47,W46,W47,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,13,Nie
WL_W47_to_W48,W47,W48,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,11,Nie
WL_W50_to_W51,W50,W51,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,12,Nie
WL_W51_to_W52,W51,W52,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,14,Nie
WL_W51_to_W53,W51,W53,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,16,Nie
WL_W53_to_W54,W53,W54,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,14,Nie
WL_W55_to_W56,W55,W56,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,12,Nie
WL_W55_to_W57,W55,W57,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,07,Nie
WL_W55_to_W58,W55,W58,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,12,Nie
WL_W58_to_W68,W58,W68,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,13,Nie
WL_W61_to_W62,W61,W62,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,11,Nie
WL_W61_to_W63,W61,W63,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,07,Nie
WL_W65_to_W66,W65,W66,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,07,Nie
WL_W65_to_W67,W65,W67,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,11,Nie
WL_W65_to_W68,W65,W68,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,14,Nie
WL_W65_to_W72,W65,W72,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,14,Nie
WL_W68_to_W69,W68,W69,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,13,Nie
WL_W68_to_W71,W68,W71,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,09,Nie
WL_W69_to_W70,W69,W70,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,11,Nie
WL_W72_to_W73,W72,W73,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,12,Nie
WL_W73_to_W74,W73,W74,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,11,Nie
WL_W74_to_W75,W74,W75,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,09,Nie
WL_W76_to_W77,W76,W77,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,13,Nie
WL_W76_to_W79,W76,W79,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,12,Nie
WL_W76_to_W80,W76,W80,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,12,Nie
WL_W77_to_W78,W77,W78,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,08,Nie
WL_W80_to_W81,W80,W81,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,11,Nie
WL_W80_to_W82,W80,W82,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,07,Nie
WL_W83_to_W84,W83,W84,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,12,Nie
WL_W83_to_W85,W83,W85,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,15,Nie
WL_W83_to_W86,W83,W86,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,11,Nie
WL_W83_to_W119,W83,W119,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,13,Nie
WL_W86_to_W87,W86,W87,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,12,Nie
WL_W86_to_W113,W86,W113,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,13,Nie
WL_W88_to_W91,W88,W91,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,10,Nie
WL_W98_to_W99,W98,W99,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,11,Nie
WL_W102_to_W103,W102,W103,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,07,Nie
WL_W107_to_W108,W107,W108,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,12,Nie
WL_W109_to_W112,W109,W112,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,12,Nie
WL_W113_to_W115,W113,W115,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,12,Nie
WL_W119_to_W120,W119,W120,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,08,Nie
WL_W119_to_W121,W119,W121,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,10,Nie
WL_W119_to_W122,W119,W122,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,10,Nie
WL_W121_to_W123,W121,W123,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,07,Nie
WL_W127_to_W128,W127,W128,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,15,Nie
WL_W127_to_W131,W127,W131,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,12,Nie
WL_W127_to_W138,W127,W138,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,16,Nie
WL_W128_to_W129,W128,W129,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,12,Nie
WL_W129_to_W130,W129,W130,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,08,Nie
WL_W131_to_W132,W131,W132,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,07,Nie
WL_W131_to_W135,W131,W135,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,11,Nie
WL_W132_to_W133,W132,W133,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,07,Nie
WL_W132_to_W134,W132,W134,radiowe na częstotliwości ogólnodostępnej,,5.25,WiFi,09,Nie
WL_W135_to_W136,W135,W136,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,08,Nie
WL_W135_to_W137,W135,W137,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,11,Nie
WL_W138_to_W139,W138,W139,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,08,Nie
WL_W138_to_W140,W138,W140,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,10,Nie
WL_W140_to_W141,W140,W141,radiowe na częstotliwości ogólnodostępnej,,5.65,WiFi,08,Nie
WL_W8_to_W13,W8,W13,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,18,Nie
WL_W13_to_W142,W13,W142,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,16,Nie
WL_W26_to_W96,W26,W96,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,09,Nie
WL_W13_to_W14,W13,W14,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,18,Nie
WL_W14_to_W112,W14,W112,radiowe na częstotliwości ogólnodostępnej,,5.17,WiFi,12,Nie
WL_W14_to_W148,W14,W148,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,09,Nie
WL_W14_to_W149,W14,W149,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,12,Nie
WL_W15_to_W150,W15,W150,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,09,Nie
WL_W16_to_W145,W16,W145,radiowe na częstotliwości ogólnodostępnej,,5.33,WiFi,13,Nie
WL_W19_to_W146,W19,W146,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,18,Nie
WL_W23_to_W31,W23,W31,radiowe na częstotliwości ogólnodostępnej,,5.29,WiFi,14,Nie
WL_W31_to_W144,W31,W144,radiowe na częstotliwości ogólnodostępnej,,5.61,WiFi,13,Nie
WL_W41_to_W143,W41,W143,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,11,Nie
WL_W53_to_W142,W53,W142,radiowe na częstotliwości ogólnodostępnej,,5.21,WiFi,18,Nie
WL_W142_to_W145,W142,W145,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,16,Nie
WL_W143_to_W144,W143,W144,radiowe na częstotliwości ogólnodostępnej,,5.57,WiFi,12,Nie
WL_W146_to_W147,W146,W147,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,09,Nie
WL_W15_to_W151,W15,W151,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,18,Nie
WL_W1_to_W140,W1,W140,radiowe na częstotliwości ogólnodostępnej,,5.53,WiFi,12,Nie
WL_W7_to_W111,W7,W111,radiowe na częstotliwości ogólnodostępnej,,5.49,WiFi,12,Nie
WL_W107_to_W111,W107,W111,radiowe na częstotliwości ogólnodostępnej,,5.69,WiFi,12,Nie
